time	V(in)	V(out)
2.454957077833267e-003	0.000000000000000e+000	-9.572698454607082e-001
2.455057077833267e-003	0.000000000000000e+000	-9.572653078389357e-001
2.455157077833267e-003	0.000000000000000e+000	-9.572607702379965e-001
2.455257077833267e-003	0.000000000000000e+000	-9.572562326578730e-001
2.455357077833267e-003	0.000000000000000e+000	-9.572516950985699e-001
2.455457077833268e-003	0.000000000000000e+000	-9.572471575600864e-001
2.455557077833267e-003	0.000000000000000e+000	-9.572426200424378e-001
2.455657077833267e-003	0.000000000000000e+000	-9.572380825456173e-001
2.455757077833267e-003	0.000000000000000e+000	-9.572335450696250e-001
2.455857077833267e-003	0.000000000000000e+000	-9.572290076144537e-001
2.455957077833267e-003	0.000000000000000e+000	-9.572244701801113e-001
2.456057077833267e-003	0.000000000000000e+000	-9.572199327665870e-001
2.456157077833267e-003	0.000000000000000e+000	-9.572153953738904e-001
2.456257077833267e-003	0.000000000000000e+000	-9.572108580020208e-001
2.456357077833267e-003	0.000000000000000e+000	-9.572063206509862e-001
2.456457077833267e-003	0.000000000000000e+000	-9.572017833207734e-001
2.456557077833267e-003	0.000000000000000e+000	-9.571972460113835e-001
2.456657077833267e-003	0.000000000000000e+000	-9.571927087228163e-001
2.456757077833267e-003	0.000000000000000e+000	-9.571881714550851e-001
2.456857077833267e-003	0.000000000000000e+000	-9.571836342081769e-001
2.456957077833267e-003	0.000000000000000e+000	-9.571790969820929e-001
2.457057077833267e-003	0.000000000000000e+000	-9.571745597768298e-001
2.457157077833267e-003	0.000000000000000e+000	-9.571700225923951e-001
2.457257077833267e-003	0.000000000000000e+000	-9.571654854287816e-001
2.457357077833268e-003	0.000000000000000e+000	-9.571609482859994e-001
2.457457077833267e-003	0.000000000000000e+000	-9.571564111640392e-001
2.457557077833267e-003	0.000000000000000e+000	-9.571518740629018e-001
2.457657077833267e-003	0.000000000000000e+000	-9.571473369825818e-001
2.457757077833267e-003	0.000000000000000e+000	-9.571427999230862e-001
2.457857077833267e-003	0.000000000000000e+000	-9.571382628844081e-001
2.457957077833267e-003	0.000000000000000e+000	-9.571337258665582e-001
2.458057077833267e-003	0.000000000000000e+000	-9.571291888695336e-001
2.458157077833267e-003	0.000000000000000e+000	-9.571246518933405e-001
2.458257077833267e-003	0.000000000000000e+000	-9.571201149379658e-001
2.458357077833267e-003	0.000000000000000e+000	-9.571155780034160e-001
2.458457077833267e-003	0.000000000000000e+000	-9.571110410896901e-001
2.458557077833267e-003	0.000000000000000e+000	-9.571065041967931e-001
2.458657077833267e-003	0.000000000000000e+000	-9.571019673247125e-001
2.458757077833267e-003	0.000000000000000e+000	-9.570974304734561e-001
2.458857077833267e-003	0.000000000000000e+000	-9.570928936430191e-001
2.458957077833267e-003	0.000000000000000e+000	-9.570883568334094e-001
2.459057077833267e-003	0.000000000000000e+000	-9.570838200446243e-001
2.459157077833267e-003	0.000000000000000e+000	-9.570792832766661e-001
2.459257077833268e-003	0.000000000000000e+000	-9.570747465295176e-001
2.459357077833267e-003	0.000000000000000e+000	-9.570702098031878e-001
2.459457077833267e-003	0.000000000000000e+000	-9.570656730976817e-001
2.459557077833267e-003	0.000000000000000e+000	-9.570611364130088e-001
2.459657077833267e-003	0.000000000000000e+000	-9.570565997491610e-001
2.459757077833267e-003	0.000000000000000e+000	-9.570520631061441e-001
2.459857077833267e-003	0.000000000000000e+000	-9.570475264839429e-001
2.459957077833267e-003	0.000000000000000e+000	-9.570429898825567e-001
2.460057077833268e-003	0.000000000000000e+000	-9.570384533019853e-001
2.460157077833267e-003	0.000000000000000e+000	-9.570339167422453e-001
